"Date","Bitfinex Net Flows","Binance Net Flows","Adjusted Transaction Volume (Native Units)","Average Transfer Value (Native Units)","Median Transfer Value","Median Transfer Value (Native Units)","Transactions per Second Count","Telegram Users"
"2017-12-25","-59737591.46924154","-27246684.934973132","2677686.46019587","11.8851044166728","213.98944364406773","0.29","8.70788194444444",""
"2017-12-24","-10366040.336440427","-18421498.256734703","2626164.97943159","13.8722593041565","300.93280164172774","0.43683673","8.77585648148148",""
"2017-12-23","-17746859.840261336","9425551.036789","2836519.60152706","14.003824265068","387.5580156263446","0.53445157","10.6351967592593",""
"2017-12-22","7336773.519186373","83542019.89406931","5351695.05267198","16.533089671482","682.334545879603","1","12.7722569444444",""
"2017-12-21","1297242.1791430125","13882882.552611312","4978367.67907848","15.588557266868","543.8553941030145","0.68517304","12.4151041666667",""
"2017-12-20","-26301830.406152274","-3466511.71994477","5080804.93384866","16.4359288594538","543.1415748259393","0.681237","11.4132407407407",""
"2017-12-19","5186449.79091282","-4437283.592822757","5857990.14772269","14.2915103275103","495.53197092820454","0.60148527","12.6415972222222",""
"2017-12-18","-23614978.133651964","47326962.90518555","4085299.92754258","11.9152242937784","275.0912571543738","0.3492209","11.3891319444444",""
"2017-12-17","-23709686.225189187","-3033030.248005969","2821829.61040693","12.9059527403758","283.23286379603894","0.388346","10.1455324074074",""
"2017-12-16","-12910660.277612463","-17045211.179726478","2987711.67647978","12.6442066886412","231.20006169289547","0.33131389","10.4150115740741",""
"2017-12-15","-7338053.554553201","8026581.751545387","3861824.55038474","14.711377816325","234.2723472231588","0.33978895","10.4669675925926",""
"2017-12-14","-7929823.1977411425","-39623669.54519834","6353888.48157294","16.6841885909275","296.5840751695075","0.42485126","10.9092476851852",""
"2017-12-13","-60371232.07580824","2469076.0895501515","5761526.58746877","15.8257927057068","225.5795304698888","0.3215224735","10.5281365740741",""
"2017-12-12","84904088.79678848","47295033.26441738","7283866.49123818","20.3212396927492","196.0567736586128","0.286672124860146","10.0965277777778",""
"2017-12-11","-6570198.147756952","-12510326.143685063","3746569.17975737","10.1667380342223","68.44713198010542","0.135180608227191","9.59373842592593",""
