"Date","Price (Close)","Price (Open)","Circulating Marketcap","Outstanding Marketcap","1 Day Active Supply","Supply in top 100 addresses","Supply in addresses with balance greater than $10M","Supply in addresses with balance greater than $1M","Supply in addresses with balance greater than $100K","Supply in addresses with balance greater than $10K"
"2017-08-19","4139.137473047507","4099.242094134883","67716251660.795456","68713761143.51765","592996.77931684","2827533.8757761","4784936.57399187","8843050.40304992","13903663.92109224","15610855.17812006"
"2017-08-18","4099.117401539575","4272.633898358059","70555056673.94083","67850038464.24486","632041.33927475","2819393.92261197","4775824.15983905","8831011.57739471","13894354.42639108","15605411.4185761"
"2017-08-17","4270.144214550261","4378.518360097261","72331278337.6432","71145078748.63457","654870.40596527","2815040.30262132","4805565.75260712","8873248.51680751","13931452.7310255","15622541.5621445"
"2017-08-16","4382.3930539921885","4157.185446335758","68662086300.624985","72062692116.97246","654271.54548392","2802276.60516588","4805196.80098244","8883167.35900372","13937805.38103486","15624507.05272255"
"2017-08-15","4158.039866959684","4324.189496003049","71407166759.36382","68677106425.0005","672338.3795878","2809653.87306821","4776764.07673105","8835054.29829288","13903891.43770418","15610795.66125272"
"2017-08-14","4322.524895838718","4061.019185095637","67076312503.41575","71055660577.93753","651686.05022613","2802711.72259336","4797446.56016421","8863793.70597339","13923887.54902765","15624047.18297146"
"2017-08-13","4061.881672801007","3867.088006227415","63868833801.40318","67074148204.91928","619864.04717627","2802580.04991627","4752335.20391685","8824876.98758828","13891783.46688178","15611472.3954708"
"2017-08-12","3868.5388769999618","3651.299810613081","60252724671.94144","63886112715.032646","683181.02703262","2798481.30664644","4640895.31712457","8712577.14303289","13781461.881931","15585730.11402736"
"2017-08-11","3650.09436542777","3418.6182726415277","56416792516.33835","60404943871.39993","683387.13174316","2804142.24280339","4572239.18928679","8642793.05701977","13735647.79271397","15566056.92099544"
"2017-08-10","3418.0379007295683","3346.58938337999","55198362225.28411","56710810916.71009","671007.64006828","2817202.68268564","4528568.22624791","8587016.4775592","13698524.88695119","15550076.89462155"
"2017-08-09","3346.8852114574315","3417.3335144624416","56391742610.19795","55223234127.2744","795209.60005627","2816688.11044102","4477916.24666525","8577258.83011255","13698442.53907569","15546857.82714171"
"2017-08-08","3418.6512946163334","3391.5629749326117","56015040628.91992","56511797950.61418","951057.17071311","2840466.80299876","4506775.02755789","8607932.42786288","13721317.27793624","15558248.78078005"
"2017-08-07","3391.9010717715946","3226.063138341867","53259716339.72998","55958573635.89146","985750.88172179","2848117.81668103","4505594.59421675","8602319.58786807","13717572.98691164","15553535.35577955"
"2017-08-06","3229.273388478502","3268.232074279338","53915593964.86362","53272937538.04711","831349.6716068","2847950.74626938","4350927.67411091","8412361.24121806","13625982.34322173","15501310.70315692"
"2017-08-05","3272.153585657745","2870.3971078500003","47348261950.89359","53387777581.820465","766372.06482314","2867050.98752812","4321065.0155296","8405093.29789165","13620519.67092598","15499362.14513342"
"2017-08-04","2850.22","2792.0103165808623","46088804584.04207","47161926533.840645","928356.58319352","2860339.61665675","4216292.28394634","8267688.79619024","13515142.20174276","15448980.46296301"
"2017-08-03","2792.4010007574316","2698.927164093669","44505213106.13979","45992799938.31519","935854.26854925","2856441.84650235","4187385.25151628","8234761.77193174","13476665.31229102","15428397.83743918"
"2017-08-02","2698.104645996667","2731.4118632671784","45032881010.14315","44346106068.054535","943263.71718903","2853732.55747386","4130632.65416213","8205836.59654201","13444629.52570929","15410887.28097012"
"2017-08-01","2727.4163923058436","2867.1111830709465","47176574196.27863","44954870203.73565","1020255.6081465","2838459.38385544","4159302.10643079","8179329.01871501","13448410.95692129","15410881.73175352"
"2017-07-31","2863.8168758658353","2750.840769285462","45320321839.23448","47178370615.22996","1029414.03083561","2852162.08383756","4259377.03639443","8224310.94708761","13475878.90865699","15423084.71972007"
"2017-07-30","2748.590775981588","2705.4569546587736","44574395304.28894","45307309969.06875","760040.51109887","2900044.55546396","4205890.28433079","8160520.54938785","13410694.81097864","15382527.09531324"
"2017-07-29","2704.0056804260894","2787.976527775744","45990990220.67716","44594828238.11444","778150.74009884","2902879.20286733","4217588.34231511","8150698.48304368","13409510.99150744","15392183.76518244"
"2017-07-28","2784.151118392669","2665.877643265321","43943926945.26095","46029171038.01704","739301.22323224","2919611.49562949","4272970.04566902","8194258.39640545","13434712.10102108","15400601.87402816"
"2017-07-27","2665.625946491292","2526.2518052609926","41650670291.25396","43904037844.165405","568159.12653555","2897944.20775625","4215104.56811097","8160741.24510564","13402618.15018485","15382787.54490351"
"2017-07-26","2525.455266387134","2562.9633536763704","42247509720.14114","41546403805.85626","557766.59359339","2893474.79488967","4154142.50059828","8122245.45332304","13364056.35948355","15361244.56379575"
"2017-07-25","2561.325961988954","2763.2029502862256","45523280415.66985","42140742567.94084","507470.39168256","2928082.95368296","4220493.96959579","8158412.41824538","13384300.11511032","15368166.86536189"
"2017-07-24","2763.1601883142066","2754.3947040603257","45372675192.22737","45371377698.71976","387832.95664173","2955657.24943693","4324514.95476043","8257506.72558042","13460432.60128368","15402976.26523417"
"2017-07-23","2753.0502836351825","2831.957867422444","46711040960.63885","45333705063.658104","356698.07063126","2952279.48301506","4322364.01429778","8261621.60437436","13459061.12659791","15401394.27617202"
"2017-07-22","2836.2319579944033","2665.530422517075","43904779627.22571","46587404300.74615","427614.0366473","2960005.76927593","4349848.46414303","8287688.45681948","13480698.21494234","15408517.40099634"
"2017-07-21","2664.6360747043204","2875.5282013690185","47087388949.35006","43888421935.82964","501582.54116569","2967173.93170157","4307384.30607426","8218910.57491941","13431337.20956888","15382341.67344222"
"2017-07-20","2870.165354417873","2259.498414382775","37176749916.62375","46479908648.678116","503103.47472191","2960388.86915777","4342858.00731558","8271336.57614097","13469391.90521967","15400273.44382309"
"2017-07-19","2258.256137804171","2306.77044634064","38000106787.129","37145563305.32494","497783.1813903","2952616.85865814","4082802.56824991","7965996.80137089","13261479.2088072","15283834.08010676"
"2017-07-18","2306.9634409732425","2225.2936625960956","36614065845.948296","37909768672.15024","497011.99003843","2945523.07004381","4100168.45815452","7981423.76371634","13279641.54604938","15291430.27379251"
"2017-07-17","2225.6291199344487","1917.6049589650086","31552701926.414055","36456861657.865685","468187.13726818","2935419.67483323","4036132.33344837","7945015.58803377","13236833.4644631","15271683.167327"
