"Date","Adjusted RVT","Volatility","Total Issuance","1 Day Active Supply","Miner Supply","Hash Rate","Miner Revenue per Hash","Miner Revenue per Hash per Second","Miner Revenue per Hash per Second (Native Units)","Addresses Count"
"2021-07-12","53.182103194201","0.8453411725696256","26093998.280501157","254538.53839742","59437331806.28955","89962724.74580109","0.00000348346","0.300970958101","0.000009083109","38074049"
"2019-10-31","38.68201613","0.7656085913786831","15106207.542974873","346336.39060217","16336286049.243078","89840145.69448967","0.00000199","0.171876073627","0.000018773443","27806658"
"2019-11-04","43.41013598","0.7649939464042688","15540294.215531861","227262.99884651","16804837201.085577","89840145.69448967","0.00000206","0.178083560437","0.000018908128","27879923"
"2019-11-06","43.45337618","0.7536349373546806","15435640.08078025","466374.95836321","16697016512.847626","89840145.69448967","0.00000203","0.175809909841","0.000018793283","27841838"
"2019-11-20","63.08185151","0.7497637459503378","14335884.521645231","293385.74485987","14408330405.355883","89788714.59758532","0.00000188","0.162127478127","0.000020073842","28042805"
"2020-03-20","44.38898278","1.656386173092126","8412278.66110097","558645.73275075","11003880226.745686","89690684.17968515","0.00000115","0.099246687265","0.000016074552","29814861"
"2019-11-27","47.61090626","0.4779596461063547","13077925.881238319","392988.78002031","13421615649.877079","89641525.05892047","0.00000172","0.148704438636","0.000019756494","28166814"
"2019-12-01","71.10994686","0.488404995792807","12888301.020459523","205955.7145676","13225930143.009907","89641525.05892047","0.00000168","0.145525645504","0.00001961863","28298703"
"2020-05-23","82.30250596","0.765363785734457","6830348.705523081","234132.78717197","16650184682.17582","89549429.16582084","0.00000101","0.08684760455","0.000009456751","30274757"
"2019-09-20","37.49594446","0.4319211521851981","19196111.156697072","302696.66944545","18147955098.836563","89253786.90022619","0.00000253","0.218775312448","0.000021511565","26998317"
"2021-07-11","91.482052542958","0.8510700113043346","26764407.335805077","151460.56543285","61451579874.97397","89248735.3238197","0.000003551273","0.306830013375","0.000008956333","38075027"
"2021-06-29","37.245831443477","0.9946527871929389","20212750.24755992","311794.28275192","64406312765.38131","89177797.47926635","0.000002879602","0.248797651573","0.000006923782","38303858"
"2021-07-02","36.355904","0.9856915366284605","19002907.094886057","353392.6137501","60554003676.11518","89177797.47926635","0.000002742255","0.236930853419","0.000007013327","38502206"
"2020-04-06","45.36049421","1.7718813587921547","11677077.992285216","325571.86980367","13000755134.136309","88524201.17783155","0.00000155","0.133680748737","0.000018317014","29962191"
"2019-11-18","56.87463493","0.7563171619990385","14321183.47362654","237137.19223684","14617975217.969915","88524084.81452073","0.0000019","0.164428080423","0.000020092553","28060708"
"2019-11-01","30.52386981","0.7658740542121426","15033494.601862945","434521.17333486","16505424696.497826","88478931.36578529","0.00000201","0.174076741475","0.000018816297","27801224"
"2019-09-05","38.58505268","0.609916096458178","21821630.94290623","310563.92887886","18887519524.40916","88354011.66916907","0.00000291","0.251390806764","0.000023760531","26918855"
"2021-06-26","39.054157990967","0.9772406149131908","17739188.77337814","452464.42480916","57152006544.97687","88186933.69698328","0.000002451777","0.21183353388","0.000006642491","38062881"
"2020-03-19","45.76739485","1.667552865198377","8297250.307915694","461388.82107066","11057067608.61757","88044983.55253497","0.00000115","0.099088208083","0.000015972819","29743927"
"2021-07-07","55.315435144053","0.9376804898397106","26084931.82813416","223378.64846301","60844284088.48477","87820755.45171145","0.000003605741","0.311536003956","0.000009181289","38086878"
"2019-09-03","38.39750409","0.6702580050032826","21768502.086981226","367005.09462117","18954040287.425762","87818532.81056806","0.00000292","0.252570062041","0.000023785221","26896144"
"2019-11-29","52.53006177","0.4888080033578872","13171154.671537122","297932.93409378","13813567826.278498","87706815.88498695","0.00000177","0.153050541697","0.000019754223","28218440"
"2019-10-09","48.87043298","0.5548468506961587","14832122.563290473","274750.0707889","15343208770.464464","87532580.6965585","0.000002","0.172448168146","0.000020056003","27354038"
"2019-09-17","42.63532482","0.47786320384206005","18861880.68518411","307374.96780895","18197912145.477493","87480532.85585083","0.00000254","0.219651018113","0.000021543683","27003470"
"2019-09-19","44.65052569","0.4331640924608758","18996526.36395377","280078.09561013","18331932402.377434","87480532.85585083","0.00000256","0.221454560604","0.000021566624","26964856"
"2019-10-14","30.85649769","0.554841937631723","14084496.736740207","312751.34287116","14880932858.79078","87295825.4578352","0.00000189","0.163648220108","0.000019607117","27511425"
"2020-05-24","73.18949038","0.7762373346714623","6384517.226440681","215604.00332312","15963414532.626663","87291880.53138837","9.3e-7","0.080672004312","0.000009160787","30171203"
"2019-11-21","53.84538256","0.7728480161788481","13036025.198232023","305664.03680638","13576881406.394861","87206195.79641934","0.00000177","0.152768620443","0.000020068714","28052492"
"2021-06-28","45.341276206288","0.9835846522840627","18906903.69644065","260702.9381408","61614568211.38868","87196068.48785546","0.000002746476","0.237295500339","0.000006902903","38223046"
"2021-06-30","38.892672103878","0.9825423342478645","19286006.38434833","286734.94370535","62853242545.952225","87196068.48785546","0.000002848191","0.246083707331","0.000007017836","38406086"
"2019-09-15","77.74393795","0.47910829344644756","18937586.76393184","173033.18089132","18390062942.495575","86889448.17439239","0.00000255","0.22007910919","0.000021354113","27002685"
"2020-05-20","41.28924213","0.77058687392655","6839411.208001532","420523.5830217","17249562935.61904","86731596.76375672","0.00000116","0.099848069643","0.000010492979","30248788"
"2019-09-29","89.06325576","0.5448366341046254","13709663.706014022","241425.17780424","14387806704.051155","86263992.57052143","0.00000186","0.160908599714","0.000019952686","27137742"
"2019-10-12","100.25589509","0.5631090499198342","13838234.614512717","207283.54372344","14844257149.016848","86002553.969571","0.00000189","0.162866435948","0.000019566473","27442739"
"2019-12-18","49.48896782","0.59544836058328","12201747.685089128","413182.5517362","12983416660.719269","85774913.16234156","0.00000167","0.144610017179","0.0000198514","28118841"
"2019-11-12","54.43785373","0.7506898473652095","14831366.86624051","261465.88335306","15692923893.973175","85362510.35685928","0.00000205","0.176776507515","0.000020113477","27928497"
"2019-11-13","46.73537808","0.7507510623140852","14793855.91398306","295484.90475597","15659116556.179379","85362510.35685928","0.00000205","0.176709839228","0.000020156872","27941079"
"2019-12-12","66.87482264","0.45275738403529975","11958111.502823638","308840.29559422","12828681067.658518","85134801.87008528","0.00000165","0.142368666204","0.000019793084","28253335"
"2019-11-22","38.31073029","0.7885105608099097","12007915.050832849","439081.05324691","12985049679.585007","85127203.65307556","0.00000167","0.14438246077","0.000019839502","28073622"
"2019-09-06","28.11914619","0.6083280874546176","20403428.219139356","385733.57783949","18439597237.002335","84605659.65896188","0.00000284","0.245673964038","0.000023780615","26945427"
"2019-09-12","41.98297358","0.5726713789449243","20546635.94228517","384801.10005398","18570879789.469387","84605659.65896188","0.00000285","0.246463661708","0.000023690775","26957201"
"2019-12-11","64.17709901","0.4622069417054213","11880766.335894208","288766.03129106","12843433460.617651","84494690.57782899","0.00000165","0.142646031271","0.000019810671","28241768"
"2019-11-24","65.42449459","0.7703581305815103","11369785.824280385","303145.30598555","12385854402.940378","84482300.59509772","0.00000157","0.135971084488","0.000019582836","28157524"
"2019-08-31","74.86621748","0.6411844927685395","19930425.757459097","215842.905232","17142657382.15547","84033176.65768328","0.00000278","0.239873420104","0.000024973744","26842236"
"2019-09-27","52.38041677","0.5631546119476661","13508186.404804211","478555.6811517","14603894451.327816","83726816.31844728","0.00000191","0.164716305335","0.000020119792","27077213"
"2020-05-22","47.43190553","0.773073099749819","6356009.179766953","344366.35357582","16608381820.901154","83529299.47400093","0.00000108","0.09334073822","0.000010188018","30303962"
"2019-08-29","38.69599499","0.6700433048722108","19557267.953335036","295732.00752431","16925163615.5143","83526952.7019141","0.00000275","0.237977771487","0.00002509702","26805571"
"2021-07-20","62.331761309153","0.7291110508725477","22697076.510198716","251665.02596351","53422151102.43947","82919538.21875685","0.000003240052","0.279940532835","0.0000094045","38009061"
"2019-08-19","43.68150664","0.6372642431141964","22177433.165341835","256798.48399741","19433230765.30817","82514504.79037575","0.00000318","0.274355951157","0.000025205814","26731133"
"2019-09-30","55.14210131","0.5565458234107069","13458843.86294565","258604.93127008","14771607811.38573","82458228.1924102","0.00000194","0.167473351421","0.000020220474","27144595"
"2019-12-25","89.66705","0.5455262443898271","11505878.665108128","286993.8578682","12813403666.698786","82390792.9958009","0.00000163","0.140780334476","0.000019576822","28273909"
