"Date","Price (Close)","Price (Open)","Real Volume","Volatility","Active Addresses Count","Transaction Volume","Adjusted Transaction Volume","Transactions Count","Transactions per Second Count","Twitter Followers"
"2019-04-02","164.79247394470406","141.28181561792704","1294772509.85288","0.7252392411437951","336880","773238193.8368843","640530014.5439465","758900","8.78356481481481",""
"2020-04-24","187.8283718960924","185.58030319754272","522896395.0117117","1.067111579497696","391035","744618249.999734","638605362.0731251","846807","9.80100694",""
"2019-07-02","291.4927390657209","294.171650218938","1174006855.876071","0.891921439033051","382288","752884358.9469979","638445918.2870275","895054","10.3594213",""
"2018-09-12","182.98141760953965","184.72311643773054","591062223.7503983","1.0585217690710176","261275","769121183.5209273","636112364.3533316","570673","6.60501157407407",""
"2018-03-17","549.0251509995774","599.4290325666287","547501050.6471944","0.8225934450968387","279550","736690615.5833793","633172439.0676727","593203","6.86577546296296",""
"2020-02-26","223.84605229183663","246.53376862891298","1552083813.3551662","0.9315679970227914","368983","805778356.4018359","630004432.8218926","704929","8.15890046",""
"2020-07-06","241.72738427287308","228.1024503384873","709622268.1292961","0.49257463414072844","521875","839381741.5500325","626750319.2613393","1020012","11.80569444",""
"2019-01-05","155.01708238037608","155.34869481852854","739443464.387429","1.3803404557957257","257064","696028575.0205239","626510572.6397413","511189","5.91653935185185",""
"2020-05-30","243.68999632894767","220.52475625673952","970274896.5173501","0.718254547628812","420854","801314384.9868075","625197795.395429","881950","10.20775463",""
"2019-04-08","180.26814499790794","175.66036707324946","1323665591.2810507","0.70046718146487","299606","759487289.3971043","625072279.4662676","668000","7.73148148148148",""
"2020-05-07","213.04253408177843","199.1274818604645","1004311126.500785","0.8749246835753428","401731","773886420.1803117","622592203.7266387","877129","10.15195602",""
"2017-05-01","76.99067894849972","81.03140292341932","202124201.17768192","1.1445445246503705","50352","2131071130.2696526","621028487.3509358","112202","1.29863425925926",""
"2018-08-02","410.3739659248291","420.06861532824627","331453487.09024405","0.6273392384675998","369948","716434951.4904292","619353918.9417468","779928","9.02694444444444",""
"2017-10-07","311.14899127874907","308.6642312721684","135206131.2097885","1.2389941308023125","134989","2383710079.298962","617304615.3164737","291091","3.3691087962963",""
"2017-08-26","332.003560833242","329.34094262648415","121565483.36364977","0.8986467961339276","144211","1887701288.6015282","616146205.2605051","306268","3.54476851851852",""
"2019-08-05","233.41740440400739","223.0057355494095","565634669.428114","0.9659566633276669","335179","705667500.3802022","616084163.8571653","718438","8.31525463",""
"2017-07-08","245.5981035522236","240.45168596554453","230126729.81280595","1.4399450011336967","132014","1928608997.7040923","615502017.1434717","248142","2.87201388888889",""
"2019-06-15","269.1825483769674","264.0491727662708","663656362.4429828","0.8445619454272371","330124","820623817.2797621","614975056.949859","938952","10.8675",""
"2020-02-13","268.48215409658985","265.8571848331664","1403786086.9613414","0.8064325645882982","374630","751924240.7004472","612704253.7628022","764763","8.85142361",""
"2020-05-10","187.6736068384149","210.17207843693302","1295114594.386677","0.9256982603114791","415159","749962463.5739384","612365725.9929796","879153","10.17538194",""
"2018-07-11","445.0440304421271","432.5048136819221","354122385.8307755","0.8484451007267385","271336","684025435.068261","609434196.9565358","643920","7.45277777777778",""
"2020-07-20","236.05969619489224","239.08089788414463","343599746.71139014","0.44404782659962594","478223","805950189.3613014","606839710.3903445","1143700","13.23726852",""
"2017-08-03","224.67906611882563","217.8294254312398","166638041.1859061","1.8303801900740626","132391","1823567597.1638165","606256598.6500369","236335","2.7353587962963",""
"2019-04-03","161.1513249222047","164.83570356062617","1949486291.1657884","0.7288742431591637","320514","730392954.152238","605363754.8849957","746605","8.64126157407407",""
"2019-06-20","272.3231722963582","269.2034279637268","611317472.9272839","0.6927909922202621","313165","690670438.3848383","604816993.2086974","985024","11.40074074",""
